lokasi_penjualan,jenis_komoditi,omzet
Penangkar Bibit Ragunan,Rukem,0
Penangkar Bibit Ragunan,Bisbol,640000
Penangkar Bibit Ragunan,Leci,360000
Penangkar Bibit Ragunan,Kedongdong,900000
Penangkar Bibit Ragunan,pala,150000
Penangkar Bibit Ragunan,beach ceryy,3000000
Penangkar Bibit Ragunan,Alpukat,600000
Penangkar Bibit Ragunan,Asem Mansis,75000
Penangkar Bibit Ragunan,Asem ,1400000
Penangkar Bibit Ragunan,Nam _ nam,250000
Penangkar Bibit Ragunan,Miracley Fruit,150000
Penangkar Bibit Ragunan,kelapa hijau,250000
Penangkar Bibit Ragunan,kelapa hibrida,200000
Penangkar Bibit Ragunan,Sengon,250000
Penangkar Bibit Ragunan,Mahoni,150000
Penangkar Bibit Ragunan,Apel india,90000
Penangkar Bibit Ragunan,Jahor jaba/anggur b,75000
Penangkar Bibit Ragunan,korma,0
Penangkar Bibit Ragunan,Pohon tin,6000000
Penangkar Bibit Ragunan,Zaitun,1400000
Penangkar Bibit Ragunan,Pohon naga,0
Penangkar Bibit Ragunan,krendeng,0
Penangkar Bibit Ragunan,coklat,0
Penangkar Bibit Ragunan,cengkeh,0
Penangkar Bibit Ragunan,pohon kopi,2500000
Penangkar Bibit Ragunan,pohon kelor,525000
Penangkar Bibit Ragunan,pohon kepel,1100000
Penangkar Bibit Ragunan,kecapi,375000
Penangkar Bibit Ragunan,jengkol,525000
Penangkar Bibit Ragunan,Gowok,840000
Penangkar Bibit Ragunan,Cincau,560000
Penangkar Bibit Ragunan,sirih merah,1960000
Penangkar Bibit Ragunan,sirih hijau,1600000
Penangkar Bibit Ragunan,sirih kuning,2400000
Penangkar Bibit Ragunan,cabe merah,8000000
Penangkar Bibit Ragunan,cabe hijau,3000000
